id;reference_number;species_number;record;sampled_habitat;active_methods;passive_methods;complementary_methods;period;month_start;year_start;month_finish;year_finish;effort_months;country;state;state_abbreviation;municipality;site;latitude;longitude;coordinate_precision;altitude;temperature;precipitation
amp1654;1215;28;co;tp,la,is;as,sb;pt;NA;mo,da,tw,ni; 8;2005; 9;2006; 13;Brazil;São Paulo;BR-SP;São Miguel Arcanjo;Parque Estadual Carlos Botelho;-24,050000;-47,93333;gm; 780;17,63;1433
amp1655;1215;11;co;fo,is;as,sb;NA;NA;da,tw,ni; 8;2005; 9;2006; 13;Brazil;São Paulo;BR-SP;São Miguel Arcanjo;Parque Estadual Carlos Botelho;-24,016667;-47,91667;gm; 796;17,60;1414
amp1656;1215;30;co;fo,sw,is;as,sb;NA;NA;da,tw,ni; 8;2005; 9;2006; 13;Brazil;São Paulo;BR-SP;Sete Barras;Parque Estadual Carlos Botelho;-24,116667;-47,98333;gm; 777;17,65;1449
amp1657;1215;13;co;fo,tp,la,sw,is;as,sb;NA;NA;da,tw,ni; 8;2005; 9;2006; 13;Brazil;São Paulo;BR-SP;Capão Bonito;Parque Estadual Carlos Botelho;-24,100000;-48,03333;gm; 832;17,40;1421
amp1658;1215;19;co;fo,la,is;as,sb;NA;NA;da,tw,ni; 8;2005; 9;2006; 13;Brazil;São Paulo;BR-SP;Sete Barras;Parque Estadual Carlos Botelho;-24,200000;-47,95000;gm; 114;21,94;1454
amp1659;1216;20;co;la;as;NA;NA;ni; 9;2004; 2;2006; 17;Brazil;São Paulo;BR-SP;São Miguel Arcanjo;Lagoa da Sede da Reserva Particular Parque do Zizo;-24,015000;-47,81278;NA; 710;18,05;1510
amp1660;1217;21;co;la,sw;as;NA;NA;NA;10;2010; 2;2011;  4;Brazil;São Paulo;BR-SP;Salesópolis;Estação Biológica de Boracéia;-23,645833;-45,86056;utm; 884;17,10;2073
amp1661;1217; 9;co;pp,la;as;NA;NA;NA;10;2010; 2;2011;  4;Brazil;São Paulo;BR-SP;Cananéia;Parque Estadual da Ilha do Cardoso;-25,070833;-47,92361;utm;   9;22,35;2188
amp1662;1217;17;co;la,sw;as;NA;NA;NA;10;2010; 2;2011;  4;Brazil;São Paulo;BR-SP;Iporanga;Parque Estadual Turístico do Alto Ribeira;-24,516667;-48,68333;gm; 614;19,19;1397
amp1663;1217;12;co;fo,la;as;NA;NA;NA;10;2010; 2;2011;  4;Brazil;São Paulo;BR-SP;Ubatuba;Parque Estadual da Serra do Mar - Núcleo Picinguaba;-23,360000;-44,85000;utm;   5;NA;NA
amp1664;1217; 9;co;pp,sw;as;NA;NA;NA;10;2010; 2;2011;  4;Brazil;São Paulo;BR-SP;Iguape;Estação Ecológica Juréia-Itatins;-24,390278;-47,07306;utm;  12;22,19;2035
amp1665;1217;16;co;pp,sw;as;NA;NA;NA;10;2010; 2;2011;  4;Brazil;São Paulo;BR-SP;Iporanga;Parque Estadual Intervales;-24,274167;-48,41556;utm; 847;17,54;1405
amp1666;1218;32;co;fo,pp,la,is;as,tr;pt;ae;mo,da,tw,ni; 1;2009; 6;2009;  5;Brazil;São Paulo;BR-SP;Mogi das Cruzes;Parque Natural Municipal Francisco Affonso de Mello;-23,492778;-46,21444;NA; 814;18,00;1493
amp1667;1219;46;co;fo,pp,sw,ll,is,br;as;NA;NA;NA; 5;2008; 1;2011; 32;Brazil;São Paulo;BR-SP;São José do Barreiro;Parque Nacional da Serra da Bocaina;-22,734444;-44,61556;NA;1547;14,53;1744
amp1668;1220; 5;co;ll;qs;NA;NA;mo,da; 7;1995; 8;1995;  1;Brazil;São Paulo;BR-SP;Cabreúva;Serra do Japi;-23,283333;-47,00000;gm;1069;16,96;1383
amp1669;1221;21;co;ll;qs;NA;NA;mo,da;12;1995; 6;1996;  6;Brazil;São Paulo;BR-SP;Ubatuba;NA;-23,411944;-45,07528;gm; 353;20,75;2511
amp1670;1222;16;co;ll,is;qs;NA;NA;mo,da; 5;1994; 2;1995;  9;Brazil;São Paulo;BR-SP;Atibaia;Parque Florestal do Itapetinga;-23,205000;-46,49972;gm;1170;16,20;1503
amp1671;1223;50;ab;fo,pp,la,sw,ll,is,br;as;pt;NA;mo,da,tw,ni; 1;2003;12;2006; 47;Brazil;São Paulo;BR-SP;São Luís do Paraitinga;Parque Estadual da Serra do Mar - Núcleo Santa Virgínia;-23,333333;-45,10000;gm; 997;16,78;1769
amp1672;1224;17;ab;tp,la,is;as;NA;NA;NA;12;2006; 2;2008; 14;Brazil;São Paulo;BR-SP;Pindamonhangaba;Parque Estadual de Campos do Jordão;-22,750000;-45,50000;gm;1523;14,15;1794
amp1673;1225;26;co;fo,tp,ll,is,br;as;pt;NA;mo,da,tw,ni; 1;2005; 1;2005;  0;Brazil;São Paulo;BR-SP;Santana de Parnaíba;Reserva Biológica Tamboré;-23,465833;-46,83722;gms; 828;18,23;1378
amp1674;1226;40;co;NA;as;NA;NA;NA; 5;1987; 8;1990; 39;Brazil;São Paulo;BR-SP;Sete Barras;Parque Estadual Carlos Botelho;-24,133333;-47,99167;gm; 823;17,43;1476
amp1675;1227;54;co;NA;NA;NA;NA;NA;NA;1997;NA;1998;NA;Brazil;São Paulo;BR-SP;Sete Barras;Parque Estadual Carlos Botelho;-24,200000;-48,05833;gm; 245;21,17;1409
amp1676;1228;24;co;pp,la,ll,is;as;NA;tp;da,tw,ni; 3;1988; 2;1989; 11;Brazil;São Paulo;BR-SP;Jundiaí;Serra do Japi;-23,226944;-46,96667;gm; 971;17,67;1327
amp1677;1229;40;co;fo,tp,sp,la,is,re;as;NA;NA;mo,da,tw,ni; 1;2000;11;2002; 34;Brazil;São Paulo;BR-SP;Ubatuba;Parque Estadual da Serra do Mar - Núcleo Picinguaba;-23,383333;-44,83333;gm; 191;21,52;2492
amp1678;1230;65;co;fo,tp,pp,la,ll,is,br;as;NA;NA;NA;NA;1940;NA;1990;NA;Brazil;São Paulo;BR-SP;Salesópolis;Estação Biológica de Boracéia;-23,633333;-45,86667;gm; 970;16,66;2016
amp1679;1231; 7;co;tp,pp,sw,is;as;NA;NA;mo,da; 9;2011; 3;2012;  6;Brazil;São Paulo;BR-SP;Ubatuba;Parque Estadual da Serra do Mar - Núcleo Picinguaba;-23,360000;-44,84778;gms;   5;NA;NA
amp1680;1232;32;co;fo,tp,pp,ll,is,os,br;as;pt;NA;mo,da,tw,ni;10;2008; 8;2010; 22;Brazil;São Paulo;BR-SP;Piquete;Pico dos Marins;-22,508611;-45,14917;gms;1457;15,36;1721
amp1681;1233;15;co;tp;as;NA;NA;tw,ni;10;1990; 8;1991; 10;Brazil;São Paulo;BR-SP;Corumbataí;Sítio Santa Amélia;-22,234444;-47,61139;gm; 584;20,88;1320
amp1682;1234;31;co;fo,la,ll;as;pt;NA;mo,da,tw,ni; 8;2007; 7;2009; 23;Brazil;São Paulo;BR-SP;Angatuba;Fazenda Três Lagoas, na Fazenda Arca;-23,328611;-48,44167;gms; 618;19,92;1225
amp1683;1235;21;co;fo,tp,pp;as,sb,tr;NA;NA;NA;10;2011; 5;2012;  7;Brazil;São Paulo;BR-SP;Bertioga;Bertioga, São Sebastião;-23,756667;-45,92472;gms;  18;22,24;2909
amp1684;1235;29;co;fo,tp,pp;as,sb,tr;NA;NA;NA;10;2011; 5;2012;  7;Brazil;São Paulo;BR-SP;Itanhaém;Santos, Itanhaém;-24,200000;-46,91278;gms;  21;22,48;2028
amp1685;1235;19;co;fo,tp,pp;as,sb,tr;NA;NA;NA;10;2011; 5;2012;  7;Brazil;São Paulo;BR-SP;Iguape;Cananéia, Iguape;-24,613333;-47,35111;gms;  14;21,96;2009
amp1686;1235;24;co;fo,tp,pp;as,sb,tr;NA;NA;NA;10;2011; 5;2012;  7;Brazil;São Paulo;BR-SP;Ubatuba;Ubatuba;-23,357500;-44,84750;gms;  10;22,47;2546
amp1687;1236;26;co;fo,sp,la,sw,ll,is;as;pt;NA;mo,da,tw,ni;10;2006; 9;2010; 47;Brazil;São Paulo;BR-SP;Botucatu;Escola do Meio Ambiente;-22,923056;-48,45778;gms; 844;19,02;1325
amp1688;1237;27;ab;eu,sp,sw;as,sb;NA;NA;ni; 1;2008;12;2009; 23;Brazil;São Paulo;BR-SP;Borebi;Fazenda Rio Pardo;-22,803611;-49,00500;gms; 656;20,15;1206
amp1689;1238;24;ab;eu,la,is;as,sb;NA;NA;ni; 1;2008;12;2009; 23;Brazil;São Paulo;BR-SP;Lençóis Paulista;Reserva Particular do Patrimônio Natural Olavo Egydio Setúbal;-22,778333;-48,95250;gms; 655;20,12;1216
amp1690;1239;29;ab;eu,sw,is;as,sb;NA;NA;ni; 9;2011; 5;2013; 20;Brazil;São Paulo;BR-SP;Avaré;Fazenda Rio Pardo II;-22,836944;-48,98194;gms; 640;20,27;1212
amp1691;1239;17;ab;eu,sp,is;as,sb;NA;NA;ni;10;2011; 4;2013; 18;Brazil;São Paulo;BR-SP;Lençóis Paulista;Fazenda Rio Claro;-22,776667;-48,89806;gms; 649;20,17;1221
amp1692;1239;19;ab;la;as,sb;NA;NA;ni;10;2011; 4;2013; 18;Brazil;São Paulo;BR-SP;Águas de Santa Bárbara;Estação Ecológica de Santa Bárbara;-22,813889;-49,23639;gms; 631;20,37;1240
amp1693;1240;20;ab;eu,tp,la;as,sb;NA;NA;ni; 5;2012; 4;2013; 11;Brazil;São Paulo;BR-SP;Agudos;Fazenda Monte Alegre;-22,431667;-48,86639;gms; 554;20,85;1174
amp1694;1240;22;ab;tp,pp,sw;as,sb;NA;NA;ni; 5;2012; 4;2013; 11;Brazil;São Paulo;BR-SP;Jaú;Fazenda Santo Antônio;-22,266389;-48,44444;gms; 706;19,97;1299
amp1695;1241;66;ab;fo,tp,la,sw,ll,is,br;as;pt;ae;mo,da,tw,ni; 2;2005; 2;2011; 72;Brazil;São Paulo;BR-SP;Itanhaém;Parque Estadual da Serra do Mar - Núcleo Curucutu;-23,991111;-46,78917;NA; 738;17,72;2298
amp1696;1242;25;co;fo,la,sw,is;as;pt;ae;mo,da,tw,ni; 1;2009; 6;2009;  5;Brazil;São Paulo;BR-SP;Mogi das Cruzes;Reserva Legal da Pedreira Itapeti;-23,493333;-46,25333;NA; 800;18,08;1481
amp1697;1243;21;co;fo,tp,la;as;pt;NA;mo,da,tw,ni; 3;2013; 1;2014; 10;Brazil;São Paulo;BR-SP;Miguelópolis;Represa Volta Grande;-20,160000;-48,12722;utm; 509;22,81;1448
amp1698;1244;14;co;pp;as;NA;NA;tw,ni;10;1996; 2;1998; 16;Brazil;São Paulo;BR-SP;Botucatu;Distrito de Rubião Júnior;-22,896667;-48,48722;gm; 878;18,85;1326
